map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023,new_number_of_square,old_number_of_square,diff_number_of_square
1030,Laniarius turatii,avibase-E294BEED,Laniarius turatii,Turati's Boubou,19730,1,0,1
1009,Anarhynchus asiaticus,avibase-264D0351,Anarhynchus asiaticus,Caspian Plover,5872,1,0,1
206,Calidris canutus,avibase-B5CE8FAD,Calidris canutus,Red Knot,6130,9,8,1
1028,Prodotiscus regulus,avibase-8DB3F1A2,Prodotiscus regulus,Wahlberg's Honeyguide,10742,1,0,1
219,Rostratula benghalensis,avibase-7516E687,Rostratula benghalensis,Greater Painted-Snipe,5947,16,15,1
225,Stercorarius skua,avibase-BB041C6E,Stercorarius skua,Great Skua,6326,1,0,1
441,Campephaga phoenicea,avibase-439F76D1,Campephaga phoenicea,Red-shouldered Cuckooshrike,18426,10,9,1
68,Mareca strepera,avibase-C235A4D7,Mareca strepera,Gadwall,478,2,1,1
501,Sylvia conspicillata,avibase-BFECF5F8,Curruca conspicillata,Spectacled Warbler,24942,3,2,1
132,Falco chicquera,avibase-6A64EFCB,Falco chicquera,Red-necked Falcon,11815,20,19,1
67,Mareca penelope,avibase-15EE0D36,Mareca penelope,Eurasian Wigeon,485,2,1,1
328,Ceryle rudis,avibase-8205077F,Ceryle rudis,Pied Kingfisher,10023,23,22,1
133,Falco ardosiaceus,avibase-3F2BA4F7,Falco ardosiaceus,Gray Kestrel,11812,20,19,1
342,Merops bulocki,avibase-E6DC5DA1,Merops bulocki,Red-throated Bee-eater,10054,17,16,1
241,Larus fuscus,avibase-2D52E3A5,Larus fuscus,Lesser Black-backed Gull,6526,10,9,1
1052,Emberiza cabanisi,avibase-45059BE8,Emberiza cabanisi,Cabanis's Bunting,32224,1,0,1
65,Sarkidiornis melanotos,avibase-3948131B,Sarkidiornis melanotos,Knob-billed Duck,377,15,14,1
1014,Larus canus,avibase-00DA9D91,Larus canus,Common Gull,6471,1,0,1
234,Chroicocephalus ridibundus,avibase-FB02DD96,Chroicocephalus ridibundus,Black-headed Gull,6434,9,8,1
546,Anthoscopus parvulus,avibase-1ED6D9B4,Anthoscopus parvulus,Yellow Penduline-Tit,21902,11,10,1
180,Pluvialis squatarola,avibase-27903EF7,Pluvialis squatarola,Black-bellied Plover,5782,10,9,1
100,Accipiter badius,avibase-1A0ECB6E,Accipiter badius,Shikra,7987,23,23,0
1036,Acrocephalus palustris,avibase-B675E006,Acrocephalus palustris,Marsh Warbler,23262,0,0,0
364,Indicator maculatus,avibase-499B3C64,Indicator maculatus,Spotted Honeyguide,10772,4,4,0
112,Stephanoaetus coronatus,avibase-1E3B3515,Stephanoaetus coronatus,Crowned Eagle,7813,2,2,0
1017,Hieraaetus pennatus,avibase-4B8CC285,Hieraaetus pennatus,Booted Eagle,7860,0,0,0
565,Emberiza goslingi,avibase-17E7F90B,Emberiza goslingi,Gosling's Bunting,32257,14,14,0
260,Pterocles exustus,avibase-F5DE9155,Pterocles exustus,Chestnut-bellied Sandgrouse,2867,19,19,0
617,Lagonosticta rara,avibase-27012CC9,Lagonosticta rara,Black-bellied Firefinch,30913,3,3,0
105,Micronisus gabar,avibase-922DE9C1,Micronisus gabar,Gabar Goshawk,7910,19,19,0
601,Euschistospiza dybowskii,avibase-76B35118,Euschistospiza dybowskii,Dybowski's Twinspot,30884,1,1,0
604,Spermophaga haematina,avibase-3817DA4A,Spermophaga haematina,Western Bluebill,30855,3,3,0
62,Alopochen aegyptiaca,avibase-DA2F24E3,Alopochen aegyptiaca,Egyptian Goose,397,7,7,0
106,Kaupifalco monogrammicus,avibase-3EEB66ED,Kaupifalco monogrammicus,Lizard Buzzard,7893,16,16,0
