TAXON CONCEPT ID,SCIENTIFIC NAME,count,map_index,sort v2023
avibase-F3DCCA8F,Telophorus sulfureopectus,366,416,19784
avibase-641068BB,Malaconotus blanchoti,493,417,19814
avibase-E44FAD6F,Lanius corvinus,3992,418,20732
avibase-AD5D8944,Lanius excubitor,282,420,20710
avibase-DB2501EE,Lanius excubitor,381,420,20705
avibase-5E7D2196,Lanius senator,592,421,20763
avibase-5E9F5905,Lanius senator,2,421,20764
avibase-7E70D490,Lanius senator,2290,421,20762
avibase-92A772BB,Oriolus oriolus,18,422,19253
avibase-D4866EAE,Oriolus auratus,1722,423,19256
avibase-84249EE3,Dicrurus sharpei,2,424,20022
avibase-C8555A05,Dicrurus sharpei,54,424,20023
